Date,Close,High,Low,Open,Volume,day_of_week,month,year,is_month_start,is_month_end,SMA_5,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,BB_middle,BB_std,BB_upper,BB_lower,daily_return,volatility_5d,volatility_20d,momentum_5d,momentum_20d,future_price_10d,future_return_10d,price_up_10d
2020-05-01,8864.7666015625,9048.0234375,8667.763671875,8672.7822265625,44068389997,4,5,2020,1,0,8385.40361328125,7449.88408203125,,7960.2691734035325,7520.45830314376,439.81087025977286,272.81126672501244,81.48921697908494,7449.88408203125,662.0713316851408,8774.026745401532,6125.7414186609685,0.023816089558295506,0.05630044456074264,0.03713682874568378,0.15428644599363395,0.29241278921184155,8601.7958984375,-0.02966470691722989,0
2020-05-02,8988.5966796875,9007.1875,8811.3662109375,8869.0576171875,40134388683,5,5,2020,0,0,8624.002734375,7550.759326171875,,8118.473405139528,7629.2092939988515,489.2641111406765,316.1018356081453,81.23766776944447,7550.759326171875,734.9653992858105,9020.690124743496,6080.828527600253,0.013968791699848548,0.056376988874393116,0.037131226078067875,0.1530344606029379,0.2894101729827896,8804.4775390625,-0.02048363578722734,0
2020-05-03,8897.46875,9167.78125,8830.9716796875,8983.6142578125,47101785174,6,5,2020,0,0,8842.084765625,7653.380883789063,,8238.31884281037,7723.154438887826,515.1644039225439,355.914349271025,80.57206482049561,7653.380883789063,773.5178716396417,9200.416627068345,6106.345140509779,-0.010138170944239966,0.058063299632589334,0.03681770188753008,0.13966978000177122,0.2998422029188714,9269.9873046875,0.041867925041883414,1
2020-05-04,8912.654296875,8956.90625,8645.0244140625,8895.7451171875,45718796276,0,5,2020,0,0,8864.4080078125,7756.8922119140625,,8342.062758820313,7811.265539479468,530.797219340845,390.890923284989,90.59457809063221,7756.8922119140625,797.4334050574543,9351.759022028971,6162.025401799154,0.0017067266322232655,0.016548947242719863,0.036778272129141254,0.012682164291033304,0.3025573148693397,9733.7216796875,0.09212377766075663,1
2020-05-05,9003.0703125,9062.4150390625,8856.8271484375,8912.83203125,43148462663,1,5,2020,0,0,8933.311328125,7874.940234375,,8443.756228617189,7899.547374518026,544.2088540991626,421.55450944782376,90.98012126851954,7874.940234375,798.4726912888432,9471.885616952686,6277.9948517973135,0.010144678859214995,0.012834747446058616,0.03537098637518165,0.039789162608913076,0.35545338722422426,9328.197265625,0.03611289724946265,1
2020-05-06,9268.76171875,9411.4677734375,8966.7060546875,9007.44140625,49371886931,2,5,2020,0,0,9014.1103515625,7982.538110351563,,8570.680150176084,8000.97065927595,569.7094909001335,451.1855057382857,91.07934187030685,7982.538110351563,835.0870159562779,9652.71214226412,6312.364078439007,0.029511199738283755,0.0147153189873918,0.033070583351546,0.0455731250855822,0.30237694606906307,9377.013671875,0.011679224950406741,1
2020-05-07,9951.5185546875,9992.6640625,9138.322265625,9261.8955078125,61112700562,3,5,2020,0,0,9206.6947265625,8125.3048095703125,,8783.116827793225,8145.455688565695,637.6611392275299,488.48063243613456,92.18431400095729,8125.3048095703125,915.758269192019,9956.82134795435,6293.788271186275,0.07366214135771076,0.03280774742501217,0.0353870193891856,0.10712705323357286,0.40237594669120313,9670.7392578125,-0.028214718721771725,0
2020-05-08,9842.666015625,9996.7431640625,9767.1728515625,9936.162109375,51780748042,4,5,2020,0,0,9395.7341796875,8254.554858398438,,8946.12439515196,8271.174972051569,674.94942310039,525.7743905689857,88.49513087590758,8254.554858398438,967.7991903100504,10190.153239018538,6318.956477778337,-0.010938284289408906,0.0329988527861285,0.03592752178715918,0.106232153456566,0.35617529365841527,9726.5751953125,-0.01179465199044738,0
2020-05-09,9593.896484375,9913.86328125,9580.64453125,9840.90625,46566121841,5,5,2020,0,0,9531.9826171875,8374.778442382812,,9045.781639647812,8369.154343334787,676.627296313025,555.9449717177936,81.56097208870057,8374.778442382812,977.815232233395,10330.408906849603,6419.147977916023,-0.025274608612654736,0.03863077875443135,0.03668398104405965,0.07643538779899273,0.334445626042265,9729.0380859375,0.014086205931302054,1
2020-05-10,8756.4306640625,9595.5810546875,8395.107421875,9591.1689453125,63325279337,6,5,2020,0,0,9482.6546875,8468.50205078125,,9001.266104942379,8397.841478203507,603.4246267388717,565.4409027220092,63.68293549340814,8468.50205078125,915.014945814531,10298.53194241031,6638.4721591521875,-0.0872915214038874,0.06039994429746326,0.041427535276555225,-0.02739505967148359,0.2723748143835383,9522.9814453125,0.08754146645573546,1
2020-05-11,8601.7958984375,9033.470703125,8374.3232421875,8755.53515625,57119858802,0,5,2020,0,0,9349.2615234375,8554.57568359375,,8939.809150095474,8412.949213035654,526.8599370598204,557.7247095895715,60.146265676567864,8554.57568359375,835.2458379568743,10225.067359507499,6884.084007680001,-0.017659566044374797,0.0574563601821551,0.04189912141029932,-0.07195846009972173,0.2502022936501864,9081.76171875,0.055798326998166115,1
2020-05-12,8804.4775390625,8949.8984375,8569.6435546875,8610.3857421875,42142717533,1,5,2020,0,0,9119.8533203125,8638.939184570312,7557.1050390625,8918.988902244248,8441.951311259865,477.0375909843824,541.5872858685337,61.97643682837843,8638.939184570312,764.6518395572426,10168.242863684798,7109.635505455827,0.023562712138033515,0.04024708570776182,0.041663347126532864,-0.11526291282295853,0.23706910539013992,9182.5771484375,0.04294401430380157,1
2020-05-13,9269.9873046875,9317.87890625,8805.3876953125,8805.3876953125,45558144023,2,5,2020,0,0,9005.317578125,8730.952319335938,7607.8087109375,8972.988656466287,8503.287310773023,469.70134569326365,527.2100978334797,56.449372178591055,8730.952319335938,720.9587834294707,10172.86988619488,7289.034752476997,0.05287193516704303,0.05325040696736749,0.04207641110181377,-0.05818329200933836,0.24768922026940454,9209.287109375,-0.006548034351870791,0
2020-05-14,9733.7216796875,9793.2685546875,9255.03515625,9271.3291015625,56426907637,3,5,2020,0,0,9033.2826171875,8840.093359375,7668.861884765625,9090.024506192627,8594.43059735928,495.5939088333471,520.8868600334532,63.58609459321384,8840.093359375,697.7648313029515,10235.623021980902,7444.563696769097,0.05002535168149658,0.05850709800792044,0.04292715784178047,0.014574390659751746,0.28908084423132197,8790.3681640625,-0.09691601492917212,0
2020-05-15,9328.197265625,9755.828125,9261.3984375,9734.291015625,48158802327,4,5,2020,0,0,9147.6359375,8928.006420898437,7721.097021484375,9126.666469182222,8648.783683897482,477.88278528474075,512.2860450837107,55.57519874039252,8928.006420898437,637.4707879194813,10202.947996737399,7653.0648450594745,-0.04166180495059313,0.04183068829628289,0.04463217504885271,0.06529676571403709,0.23226896796789887,8906.9345703125,-0.04516014009104197,0
2020-05-16,9377.013671875,9564.205078125,9260.6943359375,9333.240234375,36164766408,5,5,2020,0,0,9302.6794921875,9012.863745117187,7779.241328125,9165.18142344265,8702.726645969891,462.454777472758,502.3197915615202,54.758651054110736,9012.863745117187,572.1957596364514,10157.255264390089,7868.472225844284,0.005233209039209763,0.03871414632636602,0.044646576064443125,0.09012278163660192,0.2209864367364751,8835.052734375,-0.05779675240588944,0
2020-05-17,9670.7392578125,9823.001953125,9349.5458984375,9374.9296875,40084250663,6,5,2020,0,0,9475.9318359375,9106.620654296876,7847.812236328125,9242.959551807242,8774.431283884158,468.52826792308406,495.561486833833,59.02559513971607,9106.620654296876,512.7847798995281,10132.190214095932,8081.05109449782,0.03132400103227817,0.03914581946996119,0.04487268499152167,0.09838877036220373,0.2405379861977699,9181.017578125,-0.050639528854206084,0
2020-05-18,9726.5751953125,9906.0302734375,9570.359375,9675.6953125,41827139896,0,5,2020,0,0,9567.2494140625,9202.596484375,7923.902880859375,9317.361958500358,8844.96046250848,472.4014959918786,490.92948866544214,59.410762971238206,9202.596484375,429.64313612486023,10061.882756624722,8343.31021212528,0.005773698991511145,0.034518731692059226,0.0448309732445694,0.04925442458741225,0.24586937301830725,9525.7509765625,-0.020646961002962594,0
